title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
The Greatest Showman,56,87,6.0,217,121,96,4.4,23841,PG,"['Drama', 'Musical & Performing Arts']",Michael Gracey,"['Jenny Bicks, Bill Condon']","Dec 20, 2017",164616443.0,105.0,20th Century Fox,https://www.rottentomatoes.com/m/the_greatest_showman_2017
It,85,84,7.2,321,273,48,4.1,64421,R,"['Drama', 'Horror', 'Mystery & Suspense']",Andy Muschietti,"['Chase Palmer, Cary Joji Fukunaga, Gary Dauberman']","Sep 8, 2017",326898358.0,135.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/it_2017
Thor: Ragnarok,92,87,7.5,347,320,27,4.2,89985,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Taika Waititi,['Eric Pearson'],"Nov 3, 2017",314971245.0,130.0,Walt Disney Pictures,https://www.rottentomatoes.com/m/thor_ragnarok_2017
Spider-Man: Homecoming,92,88,7.7,327,301,26,4.2,103926,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Jon Watts,"['John Francis Daley, Christopher Ford, Erik Sommers']","Jul 7, 2017",334166825.0,,Sony Pictures,https://www.rottentomatoes.com/m/spider_man_homecoming
Justice League,40,74,5.3,322,129,193,3.9,124762,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Zack Snyder,"['Chris Terrio, Joss Whedon']","Nov 17, 2017",227032490.0,110.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/justice_league_2017
Terrifier,67,65,6.1,6,4,2,3.6,366,NR,['Horror'],Damien Leone,['Damien Leone'],"Mar 15, 2018",,85.0,Epic Pictures,https://www.rottentomatoes.com/m/terrifier
The Children Act,71,75,6.3,63,45,18,3.9,348,R,"['Art House & International', 'Drama']",Richard Eyre,['Ian McEwan'],"Sep 14, 2018",,105.0,A24 and DIRECTV,https://www.rottentomatoes.com/m/the_children_act
Murder On The Orient Express,57,54,6.1,247,141,106,3.4,24234,PG-13,"['Drama', 'Mystery & Suspense']",Kenneth Branagh,['Michael Green'],"Nov 10, 2017",101555644.0,114.0,20th Century Fox,https://www.rottentomatoes.com/m/murder_on_the_orient_express_2017
Jumanji: Welcome to the Jungle,76,87,6.2,196,149,47,4.3,37660,PG-13,"['Action & Adventure', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']",Jake Kasdan,"['Erik Sommers, Scott Rosenberg, Jeff Pinkner']","Dec 20, 2017",393201353.0,112.0,Columbia Pictures,https://www.rottentomatoes.com/m/jumanji_welcome_to_the_jungle
"Three Billboards Outside Ebbing, Missouri",92,86,8.5,339,312,27,4.1,21181,R,"['Comedy', 'Drama']",Martin McDonagh,['Martin McDonagh'],"Dec 1, 2017",52000189.0,115.0,Fox Searchlight Pictures,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri
